gene	S10	S11	S12	S13	S13prime	S14	S15	S16	S17	S18	S19	S1	S20	S20prime	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S30	S31	S32	S33	S34	S35	S36	S37	S38	S3	S4	S5	S6	S7	S8	S9
CAGL0A00891g	6.4949178709007	6.34778154012611	6.31356137157391	6.38427313249161	6.34164766118157	6.38921910870111	6.08817960419609	6.10390601113589	6.26316017231598	6.19943511643666	5.97838099741259	6.37737465655518	6.00185885376591	6.13077795285932	6.24559066193395	6.1776295759754	6.09970982440667	6.1705757836038	6.01869682364967	6.10994277341051	6.0969422552678	6.24087997645366	6.11371002370366	6.28501241902529	6.06900239242779	6.04878637124248	6.02257907091472	5.94618382601106	6.17602834038009	6.02119575413223	6.11150840676723	6.28984675156963	6.31216226593691	6.30535209414392	6.3236388279607	6.44615634294988	6.42369576610745	6.450274467946	6.71139504333569	6.43233915672089
CAGL0A00913g	5.83904196624985	5.75830893989889	5.65697496616359	5.55761107363123	5.68881055426749	5.37350828663721	5.41532652524854	5.48667320511157	5.47726096345038	5.6186458073903	5.74626099797723	6.41891786626938	5.7354627860241	5.64003659503473	5.67018556412141	5.59198498500342	5.88555556723627	5.84740317473427	5.84091124175565	5.84280134579411	6.21508435787268	6.0378589665536	5.82742212337876	6.37966729288088	6.07853584936118	5.73911272652883	5.96795085322872	6.02188371264843	6.13864297583015	5.80962832303424	6.20429246221839	6.38224430852526	6.08999014031387	6.3213972424212	6.26462769089275	6.1557480479539	6.3445122543395	5.92664138938475	6.11639087587688	5.79452417396603
CAGL0A00935g	4.34996946347609	2.55709525328348	2.62280271709366	3.26379364524888	2.89770938479357	3.46675992196886	2.29011042679461	2.27147330477133	2.86322395023848	2.97046080744688	2.86071582188545	5.80562730881893	2.53669330034736	2.43757252498042	2.91831742592229	2.58609447645024	2.43325868610357	3.32646709707795	2.80974216463426	3.17570631272652	3.5967732071016	3.70391783564705	3.58956263297869	5.36250374009813	3.76281137085074	3.74500021884089	3.70080711868865	4.22154272751219	4.53258827610827	4.09669641179622	4.72693716884698	5.4479331206063	5.24158906499814	5.28502475066894	5.73519779866471	5.75259084902533	5.82320979246828	4.52509248720209	3.81934930750233	4.38756921865971
CAGL0A00957g	7.23105011686585	6.74175205446041	6.67276731223279	7.30852055750629	7.23474058820242	7.4367491916504	6.89794366406095	6.97924413592131	7.28582924135727	7.28614106865013	6.76275790301758	5.92577130264168	6.89191593484676	7.02275760303036	7.38879835176009	7.35174664948571	6.69631501220633	7.21421852179767	6.74985602681345	6.36983585316752	7.14719075911276	7.32725535039256	6.84068620733053	6.19068791482057	7.29709393712583	7.26959070486463	6.76895831021291	7.24420664935158	7.30441148453713	6.72566546773983	7.20358003626466	6.07643877847007	5.74298334298939	6.17013087105286	6.43105028056882	6.64259154447576	6.76768248468792	6.52166694896845	6.38761474885034	6.75974133874173
CAGL0A00979g	8.89840403312925	7.03499308754139	7.03085129057568	6.51365742188159	6.33901976851688	5.98245229671511	4.65408015641527	4.72646161722055	4.61484943348815	4.56808939636946	4.97505688664367	10.4960346144236	4.57352125994249	4.4141630875147	4.39049914620215	3.89748878745533	4.59123608184679	4.57075969168371	5.15908257882994	5.30529921653422	4.42561017566803	4.48779468448819	5.33384547780694	10.3104274284082	4.59147145178835	4.57899324255244	5.50011773679421	4.83443975271556	5.10994984209361	6.00903474572238	5.47860121934035	9.82480236768662	10.027860053221	10.3689058649752	10.225165450443	10.1751464605313	10.1138320601758	8.82806048786536	9.20736853333035	9.04388484824118
CAGL0A01001g	5.18842637498146	5.6909182662426	5.60279315719623	4.86261029341482	4.79805896429431	5.19190841856723	5.41532652524854	5.46541325966912	4.33038464600411	4.56808939636946	5.47657464642753	6.05786774858447	5.87882018503851	5.93873028839273	4.83876821704759	4.92782553781244	5.86954530857525	5.10628143002706	6.1300846331547	5.8966903617677	5.12948895204147	5.35523171597955	6.43377552468774	6.46273788535309	5.31060300468331	6.6607556032956	6.56323379246495	5.26661260156219	5.39668252404357	6.13188297102359	5.16722571477405	6.38929292362206	6.33997121515071	6.0912246601669	6.17132251856082	6.31402418464162	6.3445122543395	5.69919099375629	5.73324696915993	5.39488860577128
CAGL0A01023g	6.07597849493161	5.65808178112443	5.5254682607912	5.60860768589769	5.49940128664316	5.61202431063857	4.98963982668419	5.0458066310299	5.42563197817454	5.37047137093446	5.46238414342493	6.63879267742165	5.14036804390248	5.2920020649368	5.57426486013982	5.57925582026799	5.55942167690538	5.77519214248218	5.85058153737359	5.5706372215397	5.88682325636702	5.79880910954995	5.7659643189559	6.43067104377776	5.94419325991422	5.71229418321729	5.79043747111339	5.85738269527003	5.87471043422296	5.78487766951438	5.83172597747125	6.68112671535425	6.47985876852849	6.45345233595032	6.63784997002872	6.56073124292453	6.50484086072229	6.0535525445078	6.19063317824052	6.18851200363651
CAGL0A01045g	8.62020139387872	8.82245678974704	8.85591011914534	9.25848773863233	9.1609701975798	9.46420377942789	9.4390767454554	9.43850597595785	9.64100125981291	9.84363930318309	9.05701416034945	7.98381268442942	9.42586383157775	9.47401111518257	9.4699232879021	9.57666113290195	9.24389873443043	9.13426344543843	9.38605106909373	9.09337397331466	8.77190554263865	8.87500458853211	9.61367956331201	8.68213222202936	8.71307474981337	9.57017307420987	9.44862506857967	8.60083585230339	8.41686223227662	9.36302547940325	8.1893215409963	9.11176111311504	9.05861948081933	8.35329902704137	8.41567926281148	8.64027080619223	8.60652301707626	8.1978159449315	8.10888708616954	8.33515001919565
CAGL0A01067g	6.77751862475019	6.29269023071403	6.2950424966805	6.01525362027323	6.11465033603752	6.02652481050131	5.7906287979513	5.56371905306837	5.75336728274011	5.6494066894413	6.12522200938783	7.96710657833486	6.16873195843765	6.18088952293634	6.24262194962852	5.94606681766101	6.48489120971281	6.75290512387556	6.8130449368554	6.81318357773543	6.98969014817551	6.70264934851763	6.87172698475493	7.78279704763273	7.01045497509461	6.89342754732364	7.08504285435716	6.85759378015558	7.0281218165192	6.95532921058085	7.03406823757915	7.51326529540992	7.76221356573348	7.92486698716346	7.89110119276582	7.62667434218752	7.76972839920257	7.24294795968914	7.28052519764123	6.99767086002777
CAGL0A01089g	3.47166581549815	4.84292472662456	4.62979664433685	4.58552376876236	4.78266952053447	4.57315566812101	4.90669469964762	4.35092446108778	4.82072862527953	4.89342120514109	4.46476449349559	3.96499985943557	4.53328866216561	4.73686979025435	5.06400355795306	4.99326050326547	4.72775146279451	5.35867752138553	4.60635690860955	4.35118859350193	5.49819737537713	5.56722292062788	4.45186705999797	3.57071852566849	5.72497869986488	5.27672513118248	4.52931791249983	5.7934362395213	5.67752689369804	4.2388581370634	5.49846850675093	4.2376995201966	4.11621190230753	3.63870928703401	3.63858951239363	3.52599131347706	3.50383235259737	3.74210117165241	3.58252442634747	3.78531845806989
